M11             = 2.34858e-21      +/- 2.1e-22      (8.941%)
M21             = 4.22701e-21      +/- 3.552e-22    (8.404%)
M31             = -2.11173e-22     +/- 4.177e-23    (19.78%)
M41             = 1.41668e-21      +/- 4.953e-23    (3.496%)
M51             = -1.19532e-21     +/- 1.694e-22    (14.17%)
M61             = 1.59376e-21      +/- 3e-22        (18.83%)
Q11             = -0.0975249       +/- 0.007227     (7.411%)
Q21             = -0.0827295       +/- 0.008346     (10.09%)
Q31             = 0.00931766       +/- 0.0006788    (7.285%)
Q41             = -0.0277271       +/- 0.0008385    (3.024%)
Q51             = 0.0498071        +/- 0.006389     (12.83%)
Q61             = -0.0450636       +/- 0.01046      (23.22%)
