M16             = -2.34194e-22     +/- 7.284e-22    (311%)
M26             = -5.35061e-21     +/- 6.321e-22    (11.81%)
M36             = -1.45032e-21     +/- 4.683e-23    (3.229%)
M46             = -3.49742e-21     +/- 3.304e-22    (9.447%)
M56             = 2.96616e-21      +/- 3.571e-22    (12.04%)
M66             = 6.19796e-22      +/- 1.239e-21    (199.9%)
Q16             = 0.018353         +/- 0.02935      (159.9%)
Q26             = 0.0998966        +/- 0.01354      (13.55%)
Q36             = 0.0352377        +/- 0.002955     (8.386%)
Q46             = 0.0768001        +/- 0.0107       (13.93%)
Q56             = -0.1056          +/- 0.01573      (14.9%)
Q66             = -0.0156988       +/- 0.03698      (235.5%)
