M15             = -1.48884e-21     +/- 4.917e-22    (33.03%)
M25             = 2.11262e-21      +/- 5.019e-22    (23.76%)
M35             = 3.4164e-21       +/- 7.893e-22    (23.1%)
M45             = -4.42711e-23     +/- 2.96e-22     (668.6%)
M55             = 3.27606e-21      +/- 2.632e-22    (8.034%)
M65             = -7.52609e-22     +/- 1.699e-22    (22.58%)
Q15             = 0.0678213        +/- 0.01721      (25.38%)
Q25             = -0.0468142       +/- 0.009064     (19.36%)
Q35             = -0.0949837       +/- 0.01909      (20.09%)
Q45             = 0.0151341        +/- 0.004632     (30.61%)
Q55             = -0.115087        +/- 0.006149     (5.343%)
Q65             = 0.0309459        +/- 0.003194     (10.32%)
