M12             = -1.09482e-21     +/- 4.016e-24    (0.3668%)
M22             = -5.42808e-21     +/- 5.581e-23    (1.028%)
M32             = -8.51333e-22     +/- 1.083e-23    (1.272%)
M42             = -1.3724e-21      +/- 2.678e-22    (19.52%)
M52             = 6.64066e-22      +/- 2.945e-22    (44.35%)
M62             = -3.18752e-21     +/- 1.124e-22    (3.528%)
Q12             = 0.0419012        +/- 0.001917     (4.574%)
Q22             = 0.106221         +/- 0.0003593    (0.3383%)
Q32             = 0.0222494        +/- 7.988e-05    (0.359%)
Q42             = 0.0202165        +/- 0.007347     (36.34%)
Q52             = -0.0348424       +/- 0.01042      (29.91%)
Q62             = 0.0910871        +/- 0.006109     (6.707%)
