M14             = -1.09305e-21     +/- 3.434e-22    (31.41%)
M24             = -7.13916e-21     +/- 5.656e-22    (7.922%)
M34             = -2.09535e-21     +/- 1.426e-21    (68.08%)
M44             = -9.73965e-22     +/- 7.999e-22    (82.13%)
M54             = 3.45315e-21      +/- 3.884e-22    (11.25%)
M64             = -4.25003e-21     +/- 7.382e-22    (17.37%)
Q14             = 0.0489036        +/- 0.009424     (19.27%)
Q24             = 0.145017         +/- 0.0135       (9.307%)
Q34             = 0.0698542        +/- 0.04325      (61.91%)
Q44             = 0.00474354       +/- 0.0143       (301.4%)
Q54             = -0.138071        +/- 0.01857      (13.45%)
Q64             = 0.130278         +/- 0.02592      (19.89%)
