M13             = 1.62032e-22      +/- 3e-23        (18.51%)
M23             = 2.28881e-22      +/- 2.274e-22    (99.33%)
M33             = 3.18176e-21      +/- 2.471e-22    (7.767%)
M43             = 2.12501e-21      +/- 7.734e-23    (3.64%)
M53             = 4.86982e-22      +/- 4.482e-23    (9.204%)
M63             = 4.86982e-22      +/- 4.542e-23    (9.326%)
Q13             = -0.00491294      +/- 0.001078     (21.94%)
Q23             = 0.00355766       +/- 0.004352     (122.3%)
Q33             = -0.0844236       +/- 0.00571      (6.764%)
Q43             = -0.045233        +/- 3.996e-05    (0.08835%)
Q53             = -0.0109553       +/- 0.0004792    (4.374%)
Q63             = -0.0113506       +/- 0.000599     (5.277%)
